Date,Close
3/2/15,16.41
3/3/15,16
3/4/15,16.21
3/5/15,16.51
3/6/15,16.56
3/9/15,16.5
3/10/15,16.32
3/11/15,16.19
3/12/15,16.07
3/13/15,16.06
3/16/15,15.99
3/17/15,15.73
3/18/15,15.83
3/19/15,15.8
3/20/15,15.72
3/23/15,15.58
3/24/15,15.47
3/25/15,14.87
3/26/15,14.96
3/27/15,15.24
3/30/15,15.18
3/31/15,14.7
4/1/15,14.97
4/2/15,14.77
4/6/15,14.93
4/7/15,15.06
4/8/15,15
4/9/15,15.38
4/10/15,15.27
4/13/15,15.26
4/14/15,15.15
4/15/15,15.36
4/16/15,15.33
4/17/15,15.01
4/20/15,15.02
4/21/15,14.94
4/22/15,14.76
4/23/15,14.54
4/24/15,14.31
4/27/15,14.07
4/28/15,14.12
4/29/15,14.06
4/30/15,14.01
5/1/15,14.3
5/4/15,14.17
5/5/15,13.9
5/6/15,14.06
5/7/15,14.09
5/8/15,14.19
5/11/15,14.08
5/12/15,14.09
5/13/15,14.11
5/14/15,14.24
5/15/15,14.29
5/18/15,14.39
5/19/15,14.16
5/20/15,14.14
5/21/15,14.37
5/22/15,13.14
5/26/15,13.44
5/27/15,13.9
5/28/15,14.2
5/29/15,13.99
6/1/15,14.09
6/2/15,14.01
6/3/15,14.1
6/4/15,14.12
6/5/15,14.2
6/8/15,13.89
6/9/15,14.13
6/10/15,14.17
6/11/15,14.47
6/12/15,14.29
6/15/15,14.09
6/16/15,14.13
6/17/15,14.1
6/18/15,14.46
6/19/15,14.6
6/22/15,14.59
6/23/15,14.49
6/24/15,14.35
6/25/15,14.32
6/26/15,13.93
6/29/15,13.28
6/30/15,13.19
7/1/15,13.3
7/2/15,13.42
7/6/15,13.26
7/7/15,13.16
7/8/15,12.82
7/9/15,12.4
7/10/15,12.51
7/13/15,13.19
7/14/15,12.92
7/15/15,12.71
7/16/15,12.78
7/17/15,12.85
7/20/15,12.58
7/21/15,12.58
7/22/15,12.4
7/23/15,12.42
7/24/15,12.19
7/27/15,12.29
7/28/15,12.44
7/29/15,12.58
7/30/15,12.65
7/31/15,12.44
8/3/15,12.48
8/4/15,12.26
8/5/15,12.86
8/6/15,12.44
8/7/15,12.51
8/10/15,12.64
8/11/15,12.55
8/12/15,12.4
8/13/15,12.26
8/14/15,12.43
8/17/15,12.42
8/18/15,12.16
8/19/15,11.91
8/20/15,11.42
8/21/15,11.17
8/24/15,10.61
8/25/15,10.38
8/26/15,10.48
8/27/15,11.12
8/28/15,11.32
8/31/15,11.27
9/1/15,10.89
9/2/15,11.02
9/3/15,11.12
9/4/15,10.85
9/8/15,10.91
9/9/15,10.54
9/10/15,10.55
9/11/15,8.84
9/14/15,8.62
9/15/15,8.64
9/16/15,9.04
9/17/15,8.9
9/18/15,8.65
9/21/15,8.65
9/22/15,8.84
9/23/15,8.72
9/24/15,9.03
9/25/15,9.33
9/28/15,9.05
9/29/15,9.05
9/30/15,9.05
10/1/15,8.85
10/2/15,9.07
10/5/15,9.13
10/6/15,9.48
10/7/15,9.49
10/8/15,9.43
10/9/15,9.41
10/12/15,9.25
10/13/15,9.29
10/14/15,9.53
10/15/15,9.42
10/16/15,9.35
10/19/15,9.45
10/20/15,9.22
10/21/15,9.09
10/22/15,9.14
10/23/15,9.56
10/26/15,9.45
10/27/15,8.05
10/28/15,8.28
10/29/15,8.22
10/30/15,8.21
11/2/15,8.4
11/3/15,8.55
11/4/15,8.62
11/5/15,8.7
11/6/15,8.9
11/9/15,8.9
11/10/15,8.73
11/11/15,8.81
11/12/15,8.6
11/13/15,8.52
11/16/15,8.62
11/17/15,8.5
11/18/15,8.48
11/19/15,8.77
11/20/15,8.71
11/23/15,8.66
11/24/15,8.55
11/25/15,8.5
11/27/15,8.74
11/30/15,8.86
12/1/15,9.38
12/2/15,9.55
12/3/15,9.1
12/4/15,9.24
12/7/15,9.09
12/8/15,8.42
12/9/15,8.27
12/10/15,8.42
12/11/15,8.23
12/14/15,8.04
12/15/15,8.24
12/16/15,8.56
12/17/15,8.47
12/18/15,8.57
12/21/15,8.55
12/22/15,8.68
12/23/15,8.94
12/24/15,9.02
12/28/15,8.89
12/29/15,8.96
12/30/15,8.76
12/31/15,8.82
1/4/16,8.8
1/5/16,8.52
1/6/16,8.05
1/7/16,8.13
1/8/16,8.22
1/11/16,8.32
1/12/16,8.48
1/13/16,8.29
1/14/16,8.34
1/15/16,8.11
1/19/16,7.77
1/20/16,7.91
1/21/16,8.11
1/22/16,8.18
1/25/16,8.18
1/26/16,8.32
1/27/16,8.19
1/28/16,8.38
1/29/16,8.85
2/1/16,8.93
2/2/16,8.67
2/3/16,9.27
2/4/16,9.3
2/5/16,8.96
2/8/16,8.85
2/9/16,8.7
2/10/16,8.58
2/11/16,8.41
2/12/16,8.61
2/16/16,9.12
2/17/16,9.3
2/18/16,9.28
2/19/16,9.16
2/22/16,9.3
2/23/16,9.26
2/24/16,9.49
2/25/16,9.55
2/26/16,9.54
2/29/16,9.55
3/1/16,9.75
3/2/16,9.94
3/3/16,9.8
3/4/16,9.75
3/7/16,10.17
3/8/16,9.84
