Date,Close
10/16/15,10.05
10/19/15,9.16
10/20/15,8.11
10/21/15,8
10/22/15,7.59
10/23/15,7.01
10/26/15,7.6
10/27/15,8.09
10/28/15,8.33
10/29/15,8.3
10/30/15,8.57
11/2/15,8.27
11/3/15,8
11/4/15,8.24
11/5/15,7.98
11/6/15,8
11/9/15,7.49
11/10/15,7.15
11/11/15,7.18
11/12/15,6.9
11/13/15,6.96
11/16/15,7.25
11/17/15,6.94
11/18/15,6.99
11/19/15,7.15
11/20/15,7.55
11/23/15,7.17
11/24/15,7.44
11/25/15,7.44
11/27/15,7.32
11/30/15,7.19
12/1/15,7.03
12/2/15,6.15
12/3/15,6.34
12/4/15,5.88
12/7/15,5.69
12/8/15,5.65
12/9/15,6.03
12/10/15,5.98
12/11/15,5.98
12/14/15,5.88
12/15/15,6.08
12/16/15,6.01
12/17/15,6.08
12/18/15,6.11
12/21/15,6.33
12/22/15,7.26
12/23/15,7.03
12/24/15,7.08
12/28/15,7.04
12/29/15,7.09
12/30/15,7.08
12/31/15,7.6
1/4/16,7.09
1/5/16,6.86
1/6/16,6.37
1/7/16,6.02
1/8/16,6.17
1/11/16,5.55
1/12/16,4.89
1/13/16,4.2
1/14/16,4.24
1/15/16,5.49
1/19/16,4.86
1/20/16,5.2
1/21/16,4.75
1/22/16,4.55
1/25/16,4.35
1/26/16,4.41
1/27/16,4.29
1/28/16,4.31
1/29/16,4.6
2/1/16,4.35
2/2/16,4.24
2/3/16,3.81
2/4/16,4.15
2/5/16,4.47
2/8/16,3.72
2/9/16,3.71
2/10/16,3.8
2/11/16,3.85
2/12/16,3.84
2/16/16,3.71
2/17/16,3.91
2/18/16,3.97
2/19/16,3.9
2/22/16,4.16
2/23/16,3.9
2/24/16,3.81
2/25/16,3.95
2/26/16,3.94
2/29/16,4
3/1/16,3.95
3/2/16,3.91
3/3/16,3.82
3/4/16,3.8
3/7/16,4.49
3/8/16,5.07
3/9/16,5.13
3/10/16,4.84
3/11/16,4.81
3/14/16,4.89
3/15/16,4.71
3/16/16,4.63
3/17/16,4.45
3/18/16,4.2
3/21/16,4.3
3/22/16,4.15
3/23/16,4.33
3/24/16,4.2
3/28/16,3.91
3/29/16,4.58
3/30/16,4.8
3/31/16,4.56
4/1/16,4.75
4/4/16,5
4/5/16,4.94
4/6/16,4.83
4/7/16,4.75
4/8/16,4.63
4/11/16,4.31
4/12/16,4.6
4/13/16,4.56
4/14/16,4.72
4/15/16,4.63
4/18/16,5.1
4/19/16,5.27
4/20/16,4.9
4/21/16,4.94
4/22/16,5
4/25/16,5.46
4/26/16,5.23
4/27/16,5.28
4/28/16,5.2
4/29/16,5.2
5/2/16,5.32
5/3/16,6.01
5/4/16,5.9
5/5/16,5.9
5/6/16,5.9
5/9/16,5.54
5/10/16,5.52
5/11/16,5.57
5/12/16,5.5
5/13/16,5.56
5/16/16,5.3
5/17/16,5.14
5/18/16,4.77
5/19/16,4.17
5/20/16,4.18
5/23/16,4.3
5/24/16,4.3
5/25/16,4.42
5/26/16,4.28
5/27/16,4.65
5/31/16,4.85
6/1/16,4.78
6/2/16,4.71
6/3/16,4.7
6/6/16,4.66
6/7/16,4.55
6/8/16,4.65
6/9/16,4.34
6/10/16,4.15
6/13/16,4.16
6/14/16,4
6/15/16,4.05
6/16/16,4
6/17/16,4.03
6/20/16,4
6/21/16,3.99
6/22/16,3.94
6/23/16,3.87
6/24/16,3.71
6/27/16,3.5
6/28/16,3.9
6/29/16,3.99
6/30/16,3.98
7/1/16,3.73
7/5/16,3.77
7/6/16,3.93
7/7/16,3.82
7/8/16,3.76
7/11/16,3.84
7/12/16,3.84
7/13/16,4.05
