Date,Close
5/10/19,41.57
5/13/19,37.1
5/14/19,39.96
5/15/19,41.29
5/16/19,43
5/17/19,41.91
5/20/19,41.59
5/21/19,41.5
5/22/19,41.25
5/23/19,40.47
5/24/19,41.51
5/28/19,40.95
5/29/19,39.94
5/30/19,39.8
5/31/19,40.41
6/3/19,41.25
6/4/19,42.75
6/5/19,45
6/6/19,44.92
6/7/19,44.16
6/10/19,42.61
6/11/19,42.45
6/12/19,42.17
6/13/19,44.31
6/14/19,43.23
6/17/19,43.78
6/18/19,43.86
6/19/19,44.86
6/20/19,43.86
6/21/19,44
6/24/19,43.09
6/25/19,43.09
6/26/19,42.5
6/27/19,45.13
6/28/19,46.38
7/1/19,44.27
7/2/19,44
7/3/19,44.23
7/5/19,43.53
7/8/19,42.95
7/9/19,44.2
7/10/19,43.7
7/11/19,43.99
7/12/19,43.99
7/15/19,44.53
7/16/19,44.13
7/17/19,43.62
7/18/19,43.71
7/19/19,43.18
7/22/19,43.69
7/23/19,43.36
7/24/19,43.76
7/25/19,43.4
7/26/19,44.52
7/29/19,43.88
7/30/19,42.59
7/31/19,42.14
8/1/19,41.31
8/2/19,40.4
8/5/19,39.05
8/6/19,39.15
8/7/19,39.7
8/8/19,42.97
8/9/19,40.05
8/12/19,37
8/13/19,36.45
8/14/19,33.96
8/15/19,33.22
8/16/19,35.23
8/19/19,34.61
8/20/19,35.29
8/21/19,34.91
8/22/19,34
8/23/19,33.43
8/26/19,33.31
8/27/19,33.11
8/28/19,32.59
8/29/19,32.76
8/30/19,32.57
9/3/19,30.7
9/4/19,31.99
9/5/19,32.51
9/6/19,31.86
9/9/19,32.24
9/10/19,33.51
9/11/19,34
9/12/19,34.07
9/13/19,33.25
9/16/19,34.43
9/17/19,34.29
9/18/19,34.26
9/19/19,33.82
9/20/19,32.6
9/23/19,33
9/24/19,31.3
9/25/19,31.68
9/26/19,31.57
9/27/19,30.29
9/30/19,30.47
10/1/19,29.15
10/2/19,29
10/3/19,29.72
10/4/19,29.67
10/7/19,30.37
10/8/19,29.28
10/9/19,29.07
10/10/19,28.87
10/11/19,30.13
10/14/19,31.12
10/15/19,32
10/16/19,31.87
10/17/19,32.62
10/18/19,32.06
10/21/19,31.41
10/22/19,32.53
10/23/19,33.05
10/24/19,33.28
10/25/19,32.71
10/28/19,33.22
10/29/19,32.42
10/30/19,33.75
10/31/19,31.5
11/1/19,31.37
11/4/19,31.08
11/5/19,28.02
11/6/19,26.94
11/7/19,27.38
11/8/19,27.01
11/11/19,27.14
11/12/19,26.7
11/13/19,26.71
11/14/19,25.99
