Date,Close
3/2/15,17.41
3/3/15,17.31
3/4/15,17.43
3/5/15,17.47
3/6/15,17.58
3/9/15,17.51
3/10/15,17.51
3/11/15,17.62
3/12/15,17.72
3/13/15,17.91
3/16/15,18.05
3/17/15,18.29
3/18/15,18.7
3/19/15,18.41
3/20/15,18.46
3/23/15,18.41
3/24/15,18.3
3/25/15,17.68
3/26/15,17.88
3/27/15,17.74
3/30/15,18.31
3/31/15,18.46
4/1/15,18.5
4/2/15,18.91
4/6/15,18.57
4/7/15,18.31
4/8/15,18.6
4/9/15,18.56
4/10/15,18.83
4/13/15,18.66
4/14/15,18.45
4/15/15,18.67
4/16/15,18.62
4/17/15,18.33
4/20/15,18.72
4/21/15,18.78
4/22/15,18.75
4/23/15,18.8
4/24/15,18.74
4/27/15,18.7
4/28/15,19.2
4/29/15,18.97
4/30/15,17.79
5/1/15,17.88
5/4/15,17.93
5/5/15,17.68
5/6/15,17.71
5/7/15,18.07
5/8/15,18.05
5/11/15,18.08
5/12/15,17.92
5/13/15,18.12
5/14/15,18.74
5/15/15,18.42
5/18/15,18.66
5/19/15,18.7
5/20/15,18.88
5/21/15,19.26
5/22/15,18.96
5/26/15,18.36
5/27/15,18.76
5/28/15,18.67
5/29/15,18.67
6/1/15,18.66
6/2/15,18.72
6/3/15,18.81
6/4/15,18.53
6/5/15,18.68
6/8/15,18.49
6/9/15,18.52
6/10/15,18.75
6/11/15,18.7
6/12/15,18.74
6/15/15,18.48
6/16/15,18.63
6/17/15,18.77
6/18/15,19.08
6/19/15,19.04
6/22/15,19.13
6/23/15,19.53
6/24/15,19.22
6/25/15,19.08
6/26/15,19.23
6/29/15,18.99
6/30/15,18.98
7/1/15,18.61
7/2/15,18.2
7/6/15,18.42
7/7/15,18.37
7/8/15,18.09
7/9/15,18.06
7/10/15,18.28
7/13/15,18.23
7/14/15,18.4
7/15/15,18.18
7/16/15,18.23
7/17/15,18.02
7/20/15,17.72
7/21/15,17.61
7/22/15,17.5
7/23/15,17.45
7/24/15,17.18
7/27/15,16.89
7/28/15,17.07
7/29/15,17.05
7/30/15,17.46
7/31/15,17
8/3/15,16.9
8/4/15,17.03
8/5/15,18.69
8/6/15,18.13
8/7/15,18.15
8/10/15,17.99
8/11/15,18.05
8/12/15,17.97
8/13/15,17.72
8/14/15,17.84
8/17/15,17.9
8/18/15,17.72
8/19/15,17.79
8/20/15,17.82
8/21/15,17.63
8/24/15,16.69
8/25/15,16.62
8/26/15,16.96
8/27/15,16.77
8/28/15,16.89
8/31/15,16.89
9/1/15,16.46
9/2/15,16.52
9/3/15,16.56
9/4/15,16.52
9/8/15,16.86
9/9/15,16.63
9/10/15,16.6
9/11/15,16.6
9/14/15,16.48
9/15/15,16.67
9/16/15,16.76
9/17/15,16.87
9/18/15,16.63
9/21/15,16.42
9/22/15,16.1
9/23/15,15.62
9/24/15,15.34
9/25/15,15.78
9/28/15,15.7
9/29/15,15.87
9/30/15,16.08
10/1/15,15.97
10/2/15,16.27
10/5/15,16.72
10/6/15,16.56
10/7/15,16.81
10/8/15,16.71
10/9/15,16.75
10/12/15,16.87
10/13/15,16.45
10/14/15,16.45
10/15/15,17.2
10/16/15,16.64
10/19/15,16.86
10/20/15,17.18
10/21/15,16.8
10/22/15,17.27
10/23/15,17.65
10/26/15,17.06
10/27/15,17.77
10/28/15,18.49
10/29/15,18.04
10/30/15,18.12
11/2/15,18.3
11/3/15,18.15
11/4/15,18.11
11/5/15,18.35
11/6/15,18.73
11/9/15,18.49
11/10/15,18.43
11/11/15,18.45
11/12/15,18.51
11/13/15,18.35
11/16/15,18.38
11/17/15,18.32
11/18/15,18.69
11/19/15,18.68
11/20/15,18.78
11/23/15,18.64
11/24/15,18.32
11/25/15,18.51
11/27/15,18.74
11/30/15,18.62
12/1/15,18.92
12/2/15,19.15
12/3/15,18.75
12/4/15,19.12
12/7/15,18.75
12/8/15,18.57
12/9/15,17.88
12/10/15,18.03
12/11/15,17.97
12/14/15,17.93
12/15/15,18.19
12/16/15,18.53
12/17/15,18.77
12/18/15,18.67
12/21/15,18.64
12/22/15,18.86
12/23/15,18.79
12/24/15,18.88
12/28/15,18.71
12/29/15,19.05
12/30/15,19.13
12/31/15,18.56
1/4/16,17.68
1/5/16,17.7
1/6/16,17.33
1/7/16,16.99
1/8/16,16.42
1/11/16,16.57
1/12/16,16.74
1/13/16,16.66
1/14/16,16.79
1/15/16,16.49
1/19/16,16.57
1/20/16,16.89
